realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,2009-04-15,104771
2019-12-23,2019-12-23,2009-04-22,105916
2019-12-23,2019-12-23,2009-04-29,105939
2019-12-23,2019-12-23,2009-05-06,108976
2019-12-23,2019-12-23,2009-05-13,112497
2019-12-23,2019-12-23,2009-05-20,118164
2019-12-23,2019-12-23,2009-05-27,118302
2019-12-23,2019-12-23,2009-06-03,118313
2019-12-23,2019-12-23,2009-06-10,118325
2019-12-23,2019-12-23,2009-06-17,121952
2019-12-23,2019-12-23,2009-06-24,121964
2019-12-23,2019-12-23,2009-07-01,125225
2019-12-23,2019-12-23,2009-07-08,128236
2019-12-23,2019-12-23,2009-07-15,128570
2019-12-23,2019-12-23,2009-07-22,128504
2019-12-23,2019-12-23,2009-07-29,131517
2019-12-23,2019-12-23,2009-08-05,134697
2019-12-23,2019-12-23,2009-08-12,137439
2019-12-23,2019-12-23,2009-08-19,133166
2019-12-23,2019-12-23,2009-08-26,135804
2019-12-23,2019-12-23,2009-09-02,138128
2019-12-23,2019-12-23,2009-09-09,138121
2019-12-23,2019-12-23,2009-09-16,140188
2019-12-23,2019-12-23,2009-09-23,140180
2019-12-23,2019-12-23,2009-09-30,140173
2019-12-23,2019-12-23,2009-10-07,140183
2019-12-23,2019-12-23,2009-10-14,141493
2019-12-23,2019-12-23,2009-10-21,141597
2019-12-23,2019-12-23,2009-10-28,142657
2019-12-23,2019-12-23,2009-11-04,142663
2019-12-23,2019-12-23,2009-11-11,142666
2019-12-23,2019-12-23,2009-11-18,144658
2019-12-23,2019-12-23,2009-11-25,144662
2019-12-23,2019-12-23,2009-12-02,144665
2019-12-23,2019-12-23,2009-12-09,144669
2019-12-23,2019-12-23,2009-12-16,144743
2019-12-23,2019-12-23,2009-12-23,144748
2019-12-23,2019-12-23,2009-12-30,144752
2019-12-23,2019-12-23,2010-01-06,144756
2019-12-23,2019-12-23,2010-01-13,144759
2019-12-23,2019-12-23,2010-01-20,145267
2019-12-23,2019-12-23,2010-01-27,145270
2019-12-23,2019-12-23,2010-02-03,145268
2019-12-23,2019-12-23,2010-02-10,145259
2019-12-23,2019-12-23,2010-02-17,143733
2019-12-23,2019-12-23,2010-02-24,143724
2019-12-23,2019-12-23,2010-03-03,143726
2019-12-23,2019-12-23,2010-03-10,143741
2019-12-23,2019-12-23,2010-03-17,143911
2019-12-23,2019-12-23,2010-03-24,143926
2019-12-23,2019-12-23,2010-03-31,143942
2019-12-23,2019-12-23,2010-04-07,143943
2019-12-23,2019-12-23,2010-04-14,143944
2019-12-23,2019-12-23,2010-04-21,144897
2019-12-23,2019-12-23,2010-04-28,144898
2019-12-23,2019-12-23,2010-05-05,144912
2019-12-23,2019-12-23,2010-05-12,144931
2019-12-23,2019-12-23,2010-05-19,143691
2019-12-23,2019-12-23,2010-05-26,143710
2019-12-23,2019-12-23,2010-06-02,143726
2019-12-23,2019-12-23,2010-06-09,143734
2019-12-23,2019-12-23,2010-06-16,143817
2019-12-23,2019-12-23,2010-06-23,143826
2019-12-23,2019-12-23,2010-06-30,143834
2019-12-23,2019-12-23,2010-07-07,143837
2019-12-23,2019-12-23,2010-07-14,143841
2019-12-23,2019-12-23,2010-07-21,143848
2019-12-23,2019-12-23,2010-07-28,143852
2019-12-23,2019-12-23,2010-08-04,143851
2019-12-23,2019-12-23,2010-08-11,143846
2019-12-23,2019-12-23,2010-08-18,138830
2019-12-23,2019-12-23,2010-08-25,138825
2019-12-23,2019-12-23,2010-09-01,140458
2019-12-23,2019-12-23,2010-09-08,140459
2019-12-23,2019-12-23,2010-09-15,140601
2019-12-23,2019-12-23,2010-09-22,140602
2019-12-23,2019-12-23,2010-09-29,140901
2019-12-23,2019-12-23,2010-10-06,143106
2019-12-23,2019-12-23,2010-10-13,143113
2019-12-23,2019-12-23,2010-10-20,143234
2019-12-23,2019-12-23,2010-10-27,146003
2019-12-23,2019-12-23,2010-11-03,146008
2019-12-23,2019-12-23,2010-11-10,146011
2019-12-23,2019-12-23,2010-11-17,147086
2019-12-23,2019-12-23,2010-11-24,149195
2019-12-23,2019-12-23,2010-12-01,151368
2019-12-23,2019-12-23,2010-12-08,153418
2019-12-23,2019-12-23,2010-12-15,154086
2019-12-23,2019-12-23,2010-12-22,156994
2019-12-23,2019-12-23,2010-12-29,159070
2019-12-23,2019-12-23,2011-01-05,159970
2019-12-23,2019-12-23,2011-01-12,161472
2019-12-23,2019-12-23,2011-01-19,162362
2019-12-23,2019-12-23,2011-01-26,164564
2019-12-23,2019-12-23,2011-02-02,165294
2019-12-23,2019-12-23,2011-02-09,169700
2019-12-23,2019-12-23,2011-02-16,171540
2019-12-23,2019-12-23,2011-02-23,170899
2019-12-23,2019-12-23,2011-03-02,175267
2019-12-23,2019-12-23,2011-03-09,175546
2019-12-23,2019-12-23,2011-03-16,175576
2019-12-23,2019-12-23,2011-03-23,178323
2019-12-23,2019-12-23,2011-03-30,179124
2019-12-23,2019-12-23,2011-04-06,181257
2019-12-23,2019-12-23,2011-04-13,183260
2019-12-23,2019-12-23,2011-04-20,185933
2019-12-23,2019-12-23,2011-04-27,189625
2019-12-23,2019-12-23,2011-05-04,189678
2019-12-23,2019-12-23,2011-05-11,192512
2019-12-23,2019-12-23,2011-05-18,188577
2019-12-23,2019-12-23,2011-05-25,192379
2019-12-23,2019-12-23,2011-06-01,194367
2019-12-23,2019-12-23,2011-06-08,195314
2019-12-23,2019-12-23,2011-06-15,195365
2019-12-23,2019-12-23,2011-06-22,195645
2019-12-23,2019-12-23,2011-06-29,196906
2019-12-23,2019-12-23,2011-07-06,199633
2019-12-23,2019-12-23,2011-07-13,199669
2019-12-23,2019-12-23,2011-07-20,199706
2019-12-23,2019-12-23,2011-07-27,200612
2019-12-23,2019-12-23,2011-08-03,200629
2019-12-23,2019-12-23,2011-08-10,200621
2019-12-23,2019-12-23,2011-08-17,201837
2019-12-23,2019-12-23,2011-08-24,197136
2019-12-23,2019-12-23,2011-08-31,197178
2019-12-23,2019-12-23,2011-09-07,197185
2019-12-23,2019-12-23,2011-09-14,197192
2019-12-23,2019-12-23,2011-09-21,197199
2019-12-23,2019-12-23,2011-09-28,198533
2019-12-23,2019-12-23,2011-10-05,201050
2019-12-23,2019-12-23,2011-10-12,206864
2019-12-23,2019-12-23,2011-10-19,209389
2019-12-23,2019-12-23,2011-10-26,211914
2019-12-23,2019-12-23,2011-11-02,214712
2019-12-23,2019-12-23,2011-11-09,218979
2019-12-23,2019-12-23,2011-11-16,226362
2019-12-23,2019-12-23,2011-11-23,211854
2019-12-23,2019-12-23,2011-11-30,214407
2019-12-23,2019-12-23,2011-12-07,221149
2019-12-23,2019-12-23,2011-12-14,225128
2019-12-23,2019-12-23,2011-12-21,230610
2019-12-23,2019-12-23,2011-12-28,230591
2019-12-23,2019-12-23,2012-01-04,230578
2019-12-23,2019-12-23,2012-01-11,232019
2019-12-23,2019-12-23,2012-01-18,237705
2019-12-23,2019-12-23,2012-01-25,241966
2019-12-23,2019-12-23,2012-02-01,246999
2019-12-23,2019-12-23,2012-02-08,250533
2019-12-23,2019-12-23,2012-02-15,260513
2019-12-23,2019-12-23,2012-02-22,259371
2019-12-23,2019-12-23,2012-02-29,263238
2019-12-23,2019-12-23,2012-03-07,267063
2019-12-23,2019-12-23,2012-03-14,271044
2019-12-23,2019-12-23,2012-03-21,275127
2019-12-23,2019-12-23,2012-03-28,281117
2019-12-23,2019-12-23,2012-04-04,284409
2019-12-23,2019-12-23,2012-04-11,288165
2019-12-23,2019-12-23,2012-04-18,294243
2019-12-23,2019-12-23,2012-04-25,297790
2019-12-23,2019-12-23,2012-05-02,301512
2019-12-23,2019-12-23,2012-05-09,305256
2019-12-23,2019-12-23,2012-05-16,310222
2019-12-23,2019-12-23,2012-05-23,312480
2019-12-23,2019-12-23,2012-05-30,316180
2019-12-23,2019-12-23,2012-06-06,318053
2019-12-23,2019-12-23,2012-06-13,323579
2019-12-23,2019-12-23,2012-06-20,331032
2019-12-23,2019-12-23,2012-06-27,332895
2019-12-23,2019-12-23,2012-07-04,336692
2019-12-23,2019-12-23,2012-07-11,339573
2019-12-23,2019-12-23,2012-07-18,343207
2019-12-23,2019-12-23,2012-07-25,346808
2019-12-23,2019-12-23,2012-08-01,350409
2019-12-23,2019-12-23,2012-08-08,352222
2019-12-23,2019-12-23,2012-08-15,357533
2019-12-23,2019-12-23,2012-08-22,356431
2019-12-23,2019-12-23,2012-08-29,361856
2019-12-23,2019-12-23,2012-09-05,365481
2019-12-23,2019-12-23,2012-09-12,370544
2019-12-23,2019-12-23,2012-09-19,372024
2019-12-23,2019-12-23,2012-09-26,377403
2019-12-23,2019-12-23,2012-10-03,381112
2019-12-23,2019-12-23,2012-10-10,384955
2019-12-23,2019-12-23,2012-10-17,388270
2019-12-23,2019-12-23,2012-10-24,392119
2019-12-23,2019-12-23,2012-10-31,393950
2019-12-23,2019-12-23,2012-11-07,397710
2019-12-23,2019-12-23,2012-11-14,401103
2019-12-23,2019-12-23,2012-11-21,401609
2019-12-23,2019-12-23,2012-11-28,405410
2019-12-23,2019-12-23,2012-12-05,410968
2019-12-23,2019-12-23,2012-12-12,416069
2019-12-23,2019-12-23,2012-12-19,419739
2019-12-23,2019-12-23,2012-12-26,425241
2019-12-23,2019-12-23,2013-01-02,425221
2019-12-23,2019-12-23,2013-01-09,426635
2019-12-23,2019-12-23,2013-01-16,430521
2019-12-23,2019-12-23,2013-01-23,435001
2019-12-23,2019-12-23,2013-01-30,437977
2019-12-23,2019-12-23,2013-02-06,441899
2019-12-23,2019-12-23,2013-02-13,446263
2019-12-23,2019-12-23,2013-02-20,440115
2019-12-23,2019-12-23,2013-02-27,442966
2019-12-23,2019-12-23,2013-03-06,446819
2019-12-23,2019-12-23,2013-03-13,451345
2019-12-23,2019-12-23,2013-03-20,454314
2019-12-23,2019-12-23,2013-03-27,457282
2019-12-23,2019-12-23,2013-04-03,460484
2019-12-23,2019-12-23,2013-04-10,465543
2019-12-23,2019-12-23,2013-04-17,467146
2019-12-23,2019-12-23,2013-04-24,471170
2019-12-23,2019-12-23,2013-05-01,474369
2019-12-23,2019-12-23,2013-05-08,477396
2019-12-23,2019-12-23,2013-05-15,480507
2019-12-23,2019-12-23,2013-05-22,484357
2019-12-23,2019-12-23,2013-05-29,487094
2019-12-23,2019-12-23,2013-06-05,490091
2019-12-23,2019-12-23,2013-06-12,494490
2019-12-23,2019-12-23,2013-06-19,498318
2019-12-23,2019-12-23,2013-06-26,501221
2019-12-23,2019-12-23,2013-07-03,504149
2019-12-23,2019-12-23,2013-07-10,505632
2019-12-23,2019-12-23,2013-07-17,511073
2019-12-23,2019-12-23,2013-07-24,512565
2019-12-23,2019-12-23,2013-07-31,516990
2019-12-23,2019-12-23,2013-08-07,518522
2019-12-23,2019-12-23,2013-08-14,523005
2019-12-23,2019-12-23,2013-08-21,517472
2019-12-23,2019-12-23,2013-08-28,520501
2019-12-23,2019-12-23,2013-09-04,522087
2019-12-23,2019-12-23,2013-09-11,526379
2019-12-23,2019-12-23,2013-09-18,530290
2019-12-23,2019-12-23,2013-09-25,533240
2019-12-23,2019-12-23,2013-10-02,536289
2019-12-23,2019-12-23,2013-10-09,539246
2019-12-23,2019-12-23,2013-10-16,542323
2019-12-23,2019-12-23,2013-10-23,546917
2019-12-23,2019-12-23,2013-10-30,549955
2019-12-23,2019-12-23,2013-11-06,554032
2019-12-23,2019-12-23,2013-11-13,557090
2019-12-23,2019-12-23,2013-11-20,560944
2019-12-23,2019-12-23,2013-11-27,565661
2019-12-23,2019-12-23,2013-12-04,568064
2019-12-23,2019-12-23,2013-12-11,572522
2019-12-23,2019-12-23,2013-12-18,577203
2019-12-23,2019-12-23,2013-12-25,580310
2019-12-23,2019-12-23,2014-01-01,580272
2019-12-23,2019-12-23,2014-01-08,581624
2019-12-23,2019-12-23,2014-01-15,586370
2019-12-23,2019-12-23,2014-01-22,589115
